Source,Target
1499057712633724929,702141238661791744
1325772553424662529,510071832
1325772553424662529,144804999
1325772553424662529,209075024
1325772553424662529,293963889
1325772553424662529,2294113730
1325772553424662529,725214703081934849
175037633,296197591
175037633,320931942
175037633,2674921
175037633,47927725
175037633,1068113882101747719
175037633,3010529230
175037633,799643836788146180
175037633,1352765612
1255833505776484352,791217034357051392
799643836788146180,540739844
799643836788146180,337715207
799643836788146180,974852503
799643836788146180,180786459
799643836788146180,1099963638041976832
799643836788146180,235346355
799643836788146180,1352765612
799643836788146180,4119636353
799643836788146180,2674921
799643836788146180,429303968
799643836788146180,3010529230
799643836788146180,38049355
799643836788146180,3128972751
799643836788146180,62963
799643836788146180,5695462
799643836788146180,188669876
799643836788146180,882216498
799643836788146180,144804999
799643836788146180,4096623076
799643836788146180,320931942
799643836788146180,47927725
799643836788146180,151806745
38651276,1371661483
38651276,188669876
38651276,271870111
300990470,783365013297852416
300990470,4440011897
300990470,312914921
300990470,145990349
300990470,2517447918
300990470,804206450
300990470,3086474291
300990470,188669876
300990470,583780293
300990470,317892907
300990470,3682802482
300990470,144804999
300990470,122056967
300990470,291827097
300990470,510071832
300990470,1205001530
300990470,151806745
300990470,2843621296
300990470,856447539066933248
863509182842105857,2182034635
863509182842105857,296752929
863509182842105857,144804999
863509182842105857,2843621296
141120368,16948836
141120368,314458683
141120368,4440011897
141120368,911240198591336448
141120368,573445160
141120368,932531979052044289
141120368,2827155814
141120368,2586152340
141120368,84070887
141120368,1413886358
141120368,634088725
141120368,242460478
141120368,4895557618
141120368,3052960894
141120368,190259545
141120368,885148590309552128
141120368,583780293
141120368,101252805
141120368,144804999
141120368,886380522
141120368,729406845186658304
141120368,1215613665535315968
141120368,2912279032
141120368,1239519079
141120368,255043257
141120368,293963889
141120368,876094597985951744
1078403502,830765147803308033
1078403502,400037016
1078403502,296197591
1078403502,1238812293045063680
1078403502,296701451
1078403502,337715207
1078403502,860091357100216320
1078403502,142633802
1078403502,40494849
1078403502,183706311
1078403502,1371661483
1078403502,271870111
1078403502,1099963638041976832
1078403502,188669876
1078403502,1352765612
4747929165,1167123710903562240
4747929165,1075148985495629824
4747929165,215055315
4747929165,791217034357051392
4747929165,1053339745
4747929165,282270190
4747929165,3938245335
4747929165,246795139
4747929165,296752929
4747929165,730265779
4747929165,299819538
4747929165,1023868982879834113
4747929165,580145244
4747929165,5695462
4747929165,188669876
4747929165,135464815
4747929165,2541891186
4747929165,1230425946534170624
4747929165,1230143293234778112
4747929165,144804999
4747929165,1966455439
4747929165,1205001530
4747929165,1013864360
634088725,312914921
634088725,998831507778220032
634088725,583780293
634088725,738464780
634088725,241612740
634088725,1011876784340717568
634088725,1215613665535315968
634088725,770094193
634088725,144804999
634088725,1240591329052299266
634088725,911240198591336448
634088725,242460478
634088725,2182034635
634088725,725214703081934849
634088725,729406845186658304
634088725,188669876
2175816336,311642543
2175816336,2989333690
2175816336,144804999
2175816336,2912279032
2175816336,266508103
2175816336,2843621296
2175816336,988582586
1491522796349968387,222099372
1491522796349968387,3682802482
1491522796349968387,144804999
1491522796349968387,1006493956325216256
1491522796349968387,1490616498506932228
1490616498506932228,1006493956325216256
1490616498506932228,4440011897
1490616498506932228,1491522796349968387
1490616498506932228,821173076
1490616498506932228,155219534
1490616498506932228,573445160
1490616498506932228,2827155814
1490616498506932228,228283189
1490616498506932228,180786459
1490616498506932228,2586152340
1490616498506932228,934365701888008193
1490616498506932228,74844008
1490616498506932228,862771220
1490616498506932228,145990349
1490616498506932228,62963
1490616498506932228,135464815
1490616498506932228,3682802482
1490616498506932228,144804999
1490616498506932228,122056967
1490616498506932228,702141238661791744
1490616498506932228,822381526134308864
1490616498506932228,151214860
1490616498506932228,2354591678
1490616498506932228,2822709033
1490616498506932228,1215613665535315968
1490616498506932228,141120368
1490616498506932228,1049020254159036416
1488491960230948865,3151634639
1488491960230948865,2325359208
1488491960230948865,4440011897
1488491960230948865,783365013297852416
1488491960230948865,828863719434235904
1488491960230948865,2989333690
1488491960230948865,1240591329052299266
1488491960230948865,2857319315
1488491960230948865,3086474291
1488491960230948865,1232949311702519809
1488491960230948865,313139818
1488491960230948865,3682802482
1488491960230948865,144804999
1488491960230948865,478510248
1488491960230948865,949476402
1488491960230948865,122056967
1488491960230948865,725214703081934849
1488491960230948865,856447539066933248
1488491960230948865,291827097
1488491960230948865,151214860
1488491960230948865,2354591678
1488491960230948865,1205001530
1488491960230948865,293963889
1488491960230948865,2182034635
1488491960230948865,3065983912
1488491960230948865,1013731572007260162
18277114,215055315
18277114,107696329
18277114,1371661483
18277114,304915291
18277114,102027912
18277114,784407772393865217
18277114,271870111
18277114,1099963638041976832
18277114,188669876
584216349,3087184443
584216349,140566839
584216349,2408830485
584216349,205696745
584216349,803356460788944896
584216349,574345025
584216349,227630008
584216349,325076657
584216349,206133875
584216349,1413886358
584216349,243135810
584216349,384989367
584216349,346651978
584216349,34581464
584216349,188669876
584216349,392147201
584216349,90661080
584216349,483382813
584216349,555919824
584216349,3682802482
584216349,78841292
584216349,860073337900421120
584216349,705121988289957888
584216349,290614217
584216349,2389057202
584216349,198467660
244482242,102930571
244482242,144804999
244482242,2325359208
244482242,1427460212
244482242,827114099783954433
244482242,2843621296
244482242,305531706
244482242,293963889
273387609,277636938
273387609,144804999
273387609,821173076
273387609,5695462
273387609,188669876
1336432876905246722,934365701888008193
1336432876905246722,218790418
1336432876905246722,144804999
1336432876905246722,243135810
1336432876905246722,1006493956325216256
